Источник,Адрес,Год постройки,Серия проекта,Количество этажей,Количество подъездов,Общая площадь,Общая площадь жилых помещений,Общая площадь нежилых помещений,Материал стен,Количество пассажирских лифтов,Количество грузопассажирских лифтов,Статус МКД,Количество грузовых лифтов
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
EDC,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
EDC,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
EDC,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
EDC,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
EDC,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
EDC,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
ASUPR,"Дом по адресу Сиреневый бульв., д.73, к.1",1969,П-29,9,4,6718,5639,1079,кирпичные,4,0,в эксплуатации,0
